Name,Release_season,Rating,Release_year,End_year
Gintama,Spring,4.19,2006,2010
Vivy: Fluorite Eye's Song,Spring,4.19,2021,Ongoing
Psycho-Pass,Fall ,4.18,2012,2013
Fate/Zero,Fall ,4.18,2011,Ongoing
xxxHOLiC Rou,no data,4.18,2010,2011
Initial D Fourth Stage,Spring,4.18,2004,2006
BELLE,no data,4.18,2021,Ongoing
Overlord II,Winter,4.18,2018,Ongoing
Chuan Shu Zijiu Zhinan,no data,4.18,2020,Ongoing
Gintama: Jump Festa 2008,no data,4.18,2008,Ongoing
Sekai-ichi Hatsukoi: World's Greatest First Love 2,Fall ,4.18,2011,Ongoing
Ascendance of a Bookworm,Fall ,4.18,2019,Ongoing
Tsubasa Reservoir Chronicle: Tokyo Revelations,no data,4.18,2007,2008
Junjou Romantica 2,Fall ,4.18,2008,Ongoing
The Girl Who Leapt Through Time,no data,4.18,2006,Ongoing
Wotakoi: Love is Hard for Otaku,Spring,4.18,2018,Ongoing
Berserk: Golden Age Arc III - The Advent,no data,4.18,2013,Ongoing
Puella Magi Madoka Magica the Movie Part 2: Eternal,no data,4.18,2012,Ongoing
Jujutsu Kaisen 0,no data,4.18,2021,Ongoing
Nichijou: My Ordinary Life,Spring,4.18,2011,Ongoing
Trigun,Spring,4.18,1998,Ongoing
Summer Wars,no data,4.18,2009,Ongoing
Saga of Tanya the Evil,Winter,4.18,2017,Ongoing
Psychic Princess,no data,4.18,2018,2019
Junjou Romantica 3,Summer,4.17,2015,Ongoing
Nodame Cantabile,Winter,4.17,2007,Ongoing
Space Brothers,Spring,4.17,2012,2014
Noragami,Winter,4.17,2014,Ongoing
The Seven Deadly Sins,Fall ,4.17,2014,2015
Detective Conan Movie 15: Quarter of Silence,no data,4.17,2011,Ongoing
Death Parade,Winter,4.17,2015,Ongoing
Ghost in the Shell: Stand Alone Complex,Fall ,4.17,2002,2003
Fire Force 2nd Season,Summer,4.17,2020,Ongoing
Kizumonogatari Part 1: Tekketsu,no data,4.17,2016,Ongoing
Detective Conan Movie 13: The Raven Chaser,no data,4.17,2009,Ongoing
Initial D Fifth Stage,Fall ,4.17,2012,2013
Food Wars! The Fourth Plate,Fall ,4.17,2019,Ongoing
Tokyo Ghoul,Summer,4.17,2014,Ongoing
Swallowed Star,no data,4.17,2020,2021
Angel Beats!,Spring,4.17,2010,Ongoing
In This Corner of the World,no data,4.17,2016,Ongoing
Whisper of the Heart,no data,4.17,1995,Ongoing
My Hero Academia 5,Spring,4.17,2021,Ongoing
Castlevania Season 3,Winter,4.17,2020,Ongoing
Legend of the Galactic Heroes: Die Neue These Second 2,no data,4.17,2019,Ongoing
My Hero Academia Movie 3: World Heroes' Mission,no data,4.17,2021,Ongoing
Puella Magi Madoka Magica,Winter,4.17,2011,Ongoing
Ping Pong The Animation,Spring,4.16,2014,Ongoing
Rurouni Kenshin,Winter,4.16,1996,1998
World Trigger 2nd Season,Winter,4.16,2021,Ongoing
Hajime no Ippo: Mashiba vs Kimura,no data,4.16,2003,Ongoing
Code Geass Movie: Lelouch of the Re;surrection,no data,4.16,2019,Ongoing
Star Blazers: Space Battleship Yamato 2199,no data,4.16,2012,2013
Yaoshenji 3rd Season,no data,4.16,2018,2019
One Piece Film: Gold,no data,4.16,2016,Ongoing
Laid-Back Camp,Winter,4.16,2018,Ongoing
Land of the Lustrous,Fall ,4.16,2017,Ongoing
86: Eighty-Six,Spring,4.16,2021,Ongoing
BECK: Mongolian Chop Squad,Fall ,4.16,2004,2005
Cross Game,Spring,4.16,2009,2010
Wotakoi: Love is Hard for Otaku - Youth,no data,4.16,2019,Ongoing
Wanmei Shijie,no data,4.16,2021,Ongoing
Sleepy Princess in the Demon Castle,Fall ,4.16,2020,Ongoing
Gintama: Jump Festa 2014,no data,4.16,2014,Ongoing
Beyond the Boundary Movie: I'll Be Here - Future,no data,4.16,2015,Ongoing
Ghost in the Shell: Stand Alone Complex - The Laughing Man,no data,4.16,2005,Ongoing
Nodame Cantabile: Paris,Fall ,4.16,2008,Ongoing
Nana,Spring,4.16,2006,2007
Girls und Panzer der Film,no data,4.16,2015,Ongoing
Kimi ni Todoke - From Me To You 2nd Season,Winter,4.16,2011,Ongoing
Wan Sheng Jie 2,no data,4.16,2020,Ongoing
Fate/stay night: Heaven's Feel I. presage flower,no data,4.15,2017,Ongoing
Quanzhi Gaoshou,Spring,4.15,2017,Ongoing
Detective Conan Movie 23: The Fist of Blue Sapphire,no data,4.15,2019,Ongoing
My Hero Academia Movie: Two Heroes,no data,4.15,2018,Ongoing
Trigun: Badlands Rumble,no data,4.15,2010,Ongoing
Princess Jellyfish,Fall ,4.15,2010,Ongoing
Hozuki's Coolheadedness 2nd Season: Part II,Spring,4.15,2018,Ongoing
Miss Kobayashi's Dragon Maid,Winter,4.15,2017,Ongoing
Astra Lost in Space,Summer,4.15,2019,Ongoing
Assassination Classroom 2nd Season: Kagaijugyou-hen,Winter,4.15,2016,Ongoing
Dou Po Cangqiong 3rd Season,no data,4.15,2019,Ongoing
Tokyo Godfathers,no data,4.15,2003,Ongoing
Snow White with the Red Hair,Summer,4.15,2015,Ongoing
Black Clover,Fall ,4.15,2017,2021
Laputa: Castle in the Sky,no data,4.15,1986,Ongoing
Kiki's Delivery Service,no data,4.15,1989,Ongoing
Detective Conan Movie 18: The Sniper From Another Dimension,no data,4.15,2014,Ongoing
Attack on Titan Movie 3: The Roar of Awakening,no data,4.15,2018,Ongoing
Redline,no data,4.15,2009,Ongoing
"Love, Chunibyo & Other Delusions! Movie: Take On Me",no data,4.15,2018,Ongoing
One-Punch Man: Road to Hero,no data,4.15,2015,Ongoing
Mobile Suit Gundam: The Origin,no data,4.15,2015,2018
Non Non Biyori Movie: Vacation,no data,4.15,2018,Ongoing
Made in Abyss: Tabidachi no Yoake,no data,4.15,2019,Ongoing
Ghost in the Shell: Stand Alone Complex - Solid State Society,no data,4.15,2006,Ongoing
Yowamushi Pedal: Grande Road,Fall ,4.14,2014,2015
Hozuki's Coolheadedness OVA 3,no data,4.14,2019,2020
Junjou Romantica OVA 2,no data,4.14,2015,Ongoing
Welcome to the Ballroom,Summer,4.14,2017,Ongoing
Yu Yu Hakusho,no data,4.14,1992,1994
Katanagatari,Winter,4.14,2010,Ongoing
Full Metal Panic? Fumoffu,Summer,4.14,2003,Ongoing
Log Horizon,Fall ,4.14,2013,2014
Major: Message,no data,4.14,2010,Ongoing
Keep Your Hands Off Eizouken!,Winter,4.14,2020,Ongoing
Yoh Kamiyama: YELLOW,no data,4.14,2018,Ongoing
My Teen Romantic Comedy SNAFU TOO!,Spring,4.14,2015,Ongoing
Magi: Adventure of Sinbad,Spring,4.14,2016,Ongoing
Clannad,Fall ,4.14,2007,2008
TONIKAWA: Over the Moon for You,Fall ,4.14,2020,Ongoing
Free! Eternal Summer - Forbidden All Hard!,no data,4.14,2015,Ongoing
The Last: Naruto the Movie,no data,4.14,2014,Ongoing
One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!,no data,4.14,2014,Ongoing
Teasing Master Takagi-san 2,Summer,4.14,2019,Ongoing
