Rank,Name,Japanese_name,Type,Episodes,Studio
318,Silver Spoon 2nd Season, Gin no Saji 2nd Season,TV   ,11,A-1 Pictures
319,Mobile Suit Gundam 00 Second Season, Kidou Senshi Gundam 00 Second Season,TV   ,25,Sunrise
320,When They Cry: Kai, Higurashi no Naku Koro ni Kai,TV   ,24,Studio DEEN
321,Natsume's Book of Friends, Natsume Yuujinchou,TV   ,13,Brain's Base
322,Detective Conan Movie 14: The Lost Ship in the Sky, Meitantei Conan: Tenkuu no Lost Ship,Movie,no data,TMS Entertainment
323,The Seven Deadly Sins: Revival of the Commandments, Nanatsu no Taizai: Imashime no Fukkatsu,TV   ,24,A-1 Pictures
324,Toradora!,,TV   ,25,J.C.Staff
325,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari, One Piece: Episode of Merry,TV Sp,no data,Toei Animation
326,Grand Blue, Grand Blue Dreaming,TV   ,12,Zero-G
327,Nodame Cantabile: Finale,,TV   ,11,J.C.Staff
328,xxxHOLiC Kei,,TV   ,13,Production I.G
329,Gintama,,TV   ,201,Sunrise
330,Vivy: Fluorite Eye's Song,,TV   ,13,WIT Studio
331,Psycho-Pass,,TV   ,22,Production I.G
332,Fate/Zero,,TV   ,13,ufotable
333,xxxHOLiC Rou,,OVA  ,2,Production I.G
334,Initial D Fourth Stage,,TV   ,24,A.C.G.T
335,BELLE, Ryuu to Sobakasu no Hime,Movie,no data,Studio Chizu
336,Overlord II,,TV   ,13,MADHOUSE
337,Chuan Shu Zijiu Zhinan, Scumbag System,Web  ,10,
338,Gintama: Jump Festa 2008,,Other,no data,Sunrise
339,Sekai-ichi Hatsukoi: World's Greatest First Love 2, Sekai-ichi Hatsukoi 2,TV   ,12,Studio DEEN
340,Ascendance of a Bookworm, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV   ,14,Ajia-do
341,Tsubasa Reservoir Chronicle: Tokyo Revelations, Tsubasa Chronicle: Tokyo Revelations,OVA  ,3,Production I.G
342,Junjou Romantica 2,,TV   ,12,Studio DEEN
343,The Girl Who Leapt Through Time, Toki wo Kakeru Shoujo,Movie,no data,MADHOUSE
344,Wotakoi: Love is Hard for Otaku, Wotaku ni Koi wa Muzukashii,TV   ,11,A-1 Pictures
345,Berserk: Golden Age Arc III - The Advent, Berserk: Ougon Jidai-hen III - Kourin,Movie,no data,Studio 4°C
346,Puella Magi Madoka Magica the Movie Part 2: Eternal, Mahou Shoujo Madoka Magica Movie 2: Eien no Monogatari,Movie,no data,SHAFT
347,Jujutsu Kaisen 0,,Movie,no data,MAPPA
348,Nichijou: My Ordinary Life,,TV   ,26,Kyoto Animation
349,Trigun,,TV   ,26,MADHOUSE
350,Summer Wars,,Movie,no data,MADHOUSE
351,Saga of Tanya the Evil, Youjo Senki,TV   ,12,NUT
352,Psychic Princess, Tongling Fei,Web  ,16,Haoliners Animation League
353,Junjou Romantica 3,,TV   ,12,Studio DEEN
354,Nodame Cantabile,,TV   ,23,J.C.Staff
355,Space Brothers, Uchuu Kyoudai,TV   ,99,A-1 Pictures
356,Noragami,,TV   ,12,Bones
357,The Seven Deadly Sins, Nanatsu no Taizai,TV   ,24,A-1 Pictures
358,Detective Conan Movie 15: Quarter of Silence, Meitantei Conan Movie 15: Chinmoku no Quarter,Movie,no data,TMS Entertainment
359,Death Parade,,TV   ,12,MADHOUSE
360,Ghost in the Shell: Stand Alone Complex, Koukaku Kidoutai: Stand Alone Complex,TV   ,26,Production I.G
361,Fire Force 2nd Season, Enn Enn no Shouboutai 2nd Season,TV   ,24,David Production
362,Kizumonogatari Part 1: Tekketsu, Kizumonogatari Part 1: Tekketsu-hen,Movie,no data,SHAFT
363,Detective Conan Movie 13: The Raven Chaser, Meitantei Conan Movie 13: Shikkoku no Chaser,Movie,no data,TMS Entertainment
364,Initial D Fifth Stage,,TV   ,14,Synergy SP
365,Food Wars! The Fourth Plate, Shokugeki no Souma: Shin no Sara,TV   ,12,J.C.Staff
366,Tokyo Ghoul,,TV   ,12,Pierrot
367,Swallowed Star, Tunshi Xingkong,Web  ,26,Sparkly Key Animation Studio
368,Angel Beats!,,TV   ,13,P.A. WORKS
369,In This Corner of the World, Kono Sekai no Katasumi ni,Movie,no data,MAPPA
370,Whisper of the Heart, Mimi wo Sumaseba,Movie,no data,Studio Ghibli
371,My Hero Academia 5, Boku no Hero Academia 5,TV   ,25,Bones
372,Castlevania Season 3,,Web  ,10,Mua Film
373,Legend of the Galactic Heroes: Die Neue These Second 2, Ginga Eiyuu Densetsu: Die Neue These Seiran 2,Movie,no data,Production I.G
374,My Hero Academia Movie 3: World Heroes' Mission, Boku no Hero Academia Movie 3: World Heroes' Mission,Movie,no data,Bones
375,Puella Magi Madoka Magica, Mahou Shoujo Madoka Magica,TV   ,12,SHAFT
376,Ping Pong The Animation,,TV   ,11,Tatsunoko Production
377,Rurouni Kenshin, Rurouni Kenshin: Meiji Kenkaku Romantan,TV   ,94,Gallop
378,World Trigger 2nd Season,,TV   ,12,Toei Animation
379,Hajime no Ippo: Mashiba vs Kimura,,OVA  ,1,MADHOUSE
380,Code Geass Movie: Lelouch of the Re;surrection, Code Geass Movie: Fukkatsu no Lelouch,Movie,no data,Sunrise
381,Star Blazers: Space Battleship Yamato 2199, Uchuu Senkan Yamato 2199,OVA  ,26,XEBEC
382,Yaoshenji 3rd Season, Tales of Demons and Gods 3rd Season,Web  ,40,Ruo Hong Culture
383,One Piece Film: Gold,,Movie,no data,Toei Animation
384,Laid-Back Camp, Yuru Camp,TV   ,12,C-Station
385,Land of the Lustrous, Houseki no Kuni,TV   ,12,Orange
386,86: Eighty-Six,,TV   ,11,A-1 Pictures
387,BECK: Mongolian Chop Squad,,TV   ,26,MADHOUSE
388,Cross Game,,TV   ,50,Synergy SP
389,Wotakoi: Love is Hard for Otaku - Youth, Wotaku ni Koi wa Muzukashii: Youth,OVA  ,1,A-1 Pictures
390,Wanmei Shijie, Perfect World,Web  ,41,Foch
391,Sleepy Princess in the Demon Castle, Maou-jou de Oyasumi,TV   ,12,Doga Kobo
392,Gintama: Jump Festa 2014,,Other,no data,Sunrise
393,Beyond the Boundary Movie: I'll Be Here - Future, Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen,Movie,no data,Kyoto Animation
394,Ghost in the Shell: Stand Alone Complex - The Laughing Man, Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,Movie,no data,Production I.G
395,Nodame Cantabile: Paris, Nodame Cantabile: Paris-hen,TV   ,11,J.C.Staff
396,Nana,,TV   ,47,MADHOUSE
397,Girls und Panzer der Film,,Movie,no data,Actas
398,Kimi ni Todoke - From Me To You 2nd Season,,TV   ,12,Production I.G
399,Wan Sheng Jie 2, All Saints Street 2,Web  ,12,FENZ
400,Fate/stay night: Heaven's Feel I. presage flower,,Movie,no data,ufotable
401,Quanzhi Gaoshou,"Alt titles: Full-Time Expert, The King's Avatar",TV   ,12,G.CMay Animation & Film
402,Detective Conan Movie 23: The Fist of Blue Sapphire, Meitantei Conan Movie 23: Konjou no Fist,Movie,no data,V1 Studio
403,My Hero Academia Movie: Two Heroes, Boku no Hero Academia Movie: Futari no Hero,Movie,no data,Bones
404,Trigun: Badlands Rumble,,Movie,no data,MADHOUSE
405,Princess Jellyfish, Kuragehime,TV   ,11,Brain's Base
406,Hozuki's Coolheadedness 2nd Season: Part II, Hozuki no Reitetsu 2nd Season: Part II,TV   ,13,Studio DEEN
407,Miss Kobayashi's Dragon Maid, Kobayashi-san Chi no Maid Dragon,TV   ,13,Kyoto Animation
408,Astra Lost in Space, Kanata no Astra,TV   ,12,Lerche
409,Assassination Classroom 2nd Season: Kagaijugyou-hen, Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,Web  ,8,Lerche
410,Dou Po Cangqiong 3rd Season, Battle Through the Heavens 3rd Season,Web  ,12,Motion Magic
411,Tokyo Godfathers,,Movie,no data,MADHOUSE
412,Snow White with the Red Hair, Akagami no Shirayuki-hime,TV   ,12,Bones
413,Black Clover,,TV   ,170,Pierrot
414,Laputa: Castle in the Sky, Tenkuu no Shiro Laputa,Movie,no data,Studio Ghibli
415,Kiki's Delivery Service, Majo no Takkyuubin,Movie,no data,Studio Ghibli
416,Detective Conan Movie 18: The Sniper From Another Dimension, Meitantei Conan Movie 18: Ijigen no Sniper,Movie,no data,TMS Entertainment
417,Attack on Titan Movie 3: The Roar of Awakening, Shingeki no Kyojin Movie 3: Kakusei no Houkou,Movie,no data,WIT Studio
418,Redline,,Movie,no data,MADHOUSE
419,"Love, Chunibyo & Other Delusions! Movie: Take On Me", Chuunibyou Demo Koi ga Shitai! Movie: Take On Me,Movie,no data,Kyoto Animation
420,One-Punch Man: Road to Hero,,OVA  ,1,MADHOUSE
421,Mobile Suit Gundam: The Origin, Kidou Senshi Gundam: The Origin,OVA  ,6,Sunrise
422,Non Non Biyori Movie: Vacation,,Movie,no data,SILVER LINK.
423,Made in Abyss: Tabidachi no Yoake, Made in Abyss Part 1: Journey's Dawn,Movie,no data,Kinema Citrus
424,Ghost in the Shell: Stand Alone Complex - Solid State Society,,Movie,no data,Production I.G
425,Yowamushi Pedal: Grande Road, Yowapeda: Grande Road,TV   ,24,TMS Entertainment
426,Hozuki's Coolheadedness OVA 3, Hozuki no Reitetsu OVA 3,OVA  ,3,Pine Jam
427,Junjou Romantica OVA 2,,OVA  ,1,Studio DEEN
428,Welcome to the Ballroom, Ballroom e Youkoso,TV   ,24,Production I.G
429,Yu Yu Hakusho,,TV   ,112,Pierrot
430,Katanagatari,,TV   ,12,WHITE FOX
431,Full Metal Panic? Fumoffu,,TV   ,12,Kyoto Animation
432,Log Horizon,,TV   ,25,SATELIGHT
433,Major: Message,,OVA  ,1,Synergy SP
434,Keep Your Hands Off Eizouken!, Eizouken ni wa Te wo Dasu na!,TV   ,12,Science SARU
435,Yoh Kamiyama: YELLOW,,Music,no data,
436,My Teen Romantic Comedy SNAFU TOO!, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV   ,13,feel.
437,Magi: Adventure of Sinbad, Magi: Sinbad no Bouken,TV   ,13,Lay-duce
438,Clannad,,TV   ,23,Kyoto Animation
439,TONIKAWA: Over the Moon for You, Tonikaku Kawaii: Fly me to the Moon,TV   ,12,Seven Arcs
440,Free! Eternal Summer - Forbidden All Hard!, Free! Eternal Summer - Kindan no All Hard!,DVD S,no data,Animation Do
441,The Last: Naruto the Movie,,Movie,no data,Pierrot
442,One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!,"Alt titles: One Piece: ""3D2Y"", One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai",TV Sp,no data,Toei Animation
443,Teasing Master Takagi-san 2, Karakai Jouzu no Takagi-san 2,TV   ,12,Shin-Ei Animation
444,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna, One Piece: Episode of Nami,TV Sp,no data,Toei Animation
445,Initial D Second Stage,,TV   ,13,Pastel
446,Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai, Sekai-ichi Hatsukoi: World's Greatest First Love - Yokozawa Takafumi no Baai,Movie,no data,Studio DEEN
447,Fairy Tail,,TV   ,175,A-1 Pictures
448,Teasing Master Takagi-san 3, Karakai Jouzu no Takagi-san 3,TV   ,no data,Shin-Ei Animation
449,Omae Umasou da na Movie,,Movie,no data,Ajia-do
450,Black Lagoon,,TV   ,12,MADHOUSE
451,One Piece: Episode of East Blue, One Piece Episode of East Blue: Luffy to 4-nin no Nakama no Daibouken,TV Sp,no data,Toei Animation
452,Baccano! Specials,,DVD S,no data,Brain's Base
453,Durarara!!,,TV   ,24,Brain's Base
454,TONIKAWA: Over the Moon for You OVA, Tonikaku Kawaii: SNS,OVA  ,1,Seven Arcs
455,Detective Conan Movie 8: Magician of the Silver Sky, Meitantei Conan Movie 8: Ginyoku no kijutsushi,Movie,no data,TMS Entertainment
456,Kimi ni Todoke - From Me To You,,TV   ,25,Production I.G
457,Spice and Wolf, Ookami to Koushinryou,TV   ,13,IMAGIN
458,Nisemonogatari,,TV   ,11,SHAFT
459,Attack on Titan: The Final Season PV, Shingeki no Kyojin: The Final Season PV,Web  ,1,MAPPA
460,High Speed! -Free! Starting Days-,,Movie,no data,Kyoto Animation
461,One Piece: Episode of Sabo, One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,TV Sp,no data,Toei Animation
462,Time of Eve, Eve no Jikan,Web  ,6,Studio Rikka
463,The Case Study of Vanitas: Part II, Vanitas no Carte: Part II,TV   ,no data,Bones
464,The Prince of Tennis: The National Tournament - Final, Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,OVA  ,7,M.S.C.
465,Time of Eve Movie, Eve no Jikan Movie,Movie,no data,Studio Rikka
466,When Marnie Was There, Omoide no Marnie,Movie,no data,Studio Ghibli
467,Megalo Box 2: Nomad,,TV   ,13,TMS Entertainment
468,Baby Steps 2,,TV   ,25,Pierrot
469,Kuroko's Basketball Movie 3: Winter Cup Highlights -Crossing the Door-, Kuroko no Basket Movie 3: Winter Cup Soushuuhen -Tobira no Mukou-,Movie,no data,Production I.G
470,Fate/stay night: Unlimited Blade Works Prologue,,TV Sp,no data,ufotable
471,Mononoke,,TV   ,12,Toei Animation
472,The Tatami Galaxy, Yojouhan Shinwa Taikei,TV   ,11,MADHOUSE
473,GATE (2016)," Gate: Jieitai Kanochi nite, Kaku Tatakaeri (2016)",TV   ,12,A-1 Pictures
474,The Pet Girl of Sakurasou, Sakurasou no Pet na Kanojo,TV   ,24,J.C.Staff
475,Tenchi Muyo! War on Geminar, Isekai no Seikishi Monogatari,OVA  ,13,AIC Spirits
476,Terror in Resonance, Zankyou no Terror,TV   ,11,MAPPA
477,Durarara!! X2 The Third Arc, Durarara!!x2 Ketsu,TV   ,12,Shuka
478,Nura: Rise of the Youkai Clan - Demon Capital, Nurarihyon no Mago: Sennen Makyou,TV   ,24,Studio DEEN
479,Full Metal Panic! The Second Raid,,TV   ,no data,Kyoto Animation
480,Gintama: Dai Hanseikai,,Other,no data,Sunrise
481,Berserk, Kenpuu Denki Berserk,TV   ,25,OLM
482,Durarara!! X2, Durarara!!x2 Shou,TV   ,12,Shuka
483,Detective Conan Movie 5: Countdown to Heaven, Meitantei Conan Movie 5: Tengoku no Countdown,Movie,no data,TMS Entertainment
484,Noragami Aragoto OVA,,OVA  ,2,Bones
485,Stars Align, Hoshiai no Sora,TV   ,12,8-Bit
486,Mobile Suit Gundam 00, Kidou Senshi Gundam 00,TV   ,25,Sunrise
487,Link Click: Marrying by Contesting, Shiguang Dailiren: Biwu Zhaoqin,Web  ,1,Studio LAN
488,Obey Me! Celestial Ray,,Music,no data,
489,Lupin III: Part V, Lupin Sansei: Adventure in France,TV   ,24,Telecom Animation Film
490,Detective Conan Movie 22: Zero The Enforcer, Meitantei Conan Movie 22: Zero no Shikkounin,Movie,no data,TMS Entertainment
491,Free! -Take Your Marks-,,Movie,no data,Kyoto Animation
492,Magi: The Labyrinth of Magic,,TV   ,25,A-1 Pictures
493,ReLIFE,,Web  ,13,Double Eagle
494,Dorohedoro,,TV   ,12,MAPPA
495,A Certain Scientific Railgun S, Toaru Kagaku no Railgun S,TV   ,24,J.C.Staff
496,Ghost in the Shell: Stand Alone Complex - Individual Eleven, Koukaku Kidoutai S.A.C. 2nd GIG: Individual Eleven,Movie,no data,Production I.G
497,Daily Lives of High School Boys, Danshi Koukousei no Nichijou,TV   ,12,Sunrise
498,Asobi Asobase, Asobi Asobase - workshop of fun -,TV   ,12,Lerche
499,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,,DVD S,no data,WHITE FOX
500,Patema Inverted, Sakasama no Patema,Movie,no data,Studio Rikka
501,Stand by Me Doraemon,,Movie,no data,Robot
502,Sekai-ichi Hatsukoi: World's Greatest First Love OVA, Sekai-ichi Hatsukoi OVA,OVA  ,2,Studio DEEN
503,Magical Girl Lyrical Nanoha: The Movie 2nd A's, Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,no data,Seven Arcs
504,"The Garden of Sinners Movie 3: Ever Cry, Never Life. (Remaining Sense of Pain)", Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,Movie,no data,ufotable
505,Gintama: Jump Festa 2015,,Other,no data,BN Pictures
506,Black Lagoon: Roberta's Blood Trail,,OVA  ,5,MADHOUSE
507,Bungo Stray Dogs,,TV   ,12,Bones
508,The World God Only Knows: Goddesses Arc, Kami nomi zo Shiru Sekai: Megami-hen,TV   ,12,Manglobe
509,Legend of the Galactic Heroes: Die Neue These Second 1, Ginga Eiyuu Densetsu: Die Neue These Seiran 1,Movie,no data,Production I.G
510,KonoSuba – God’s blessing on this wonderful world! 2 OVA, Kono Subarashii Sekai ni Shukufuku wo! 2 OVA,OVA  ,1,Studio DEEN
511,Bakuman.,,TV   ,25,J.C.Staff
512,Tian Bao Fuyao Lu 2nd Season, Legend of Tang 2nd Season,Web  ,13,Sparkly Key Animation Studio
513,Hozuki's Coolheadedness 2nd Season, Hozuki no Reitetsu 2nd Season,TV   ,13,Studio DEEN
514,xxxHOLiC Shunmuki,,OVA  ,2,Production I.G
515,Berserk: Golden Age Arc II - The Battle for Doldrey, Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,no data,Studio 4°C
516,Yona of the Dawn OVA, Akatsuki no Yona OVA,OVA  ,1,Pierrot
517,Darker than Black, Darker Than Black: Kuro no Keiyakusha,TV   ,25,Bones
518,Wan Sheng Jie, All Saints Street,Web  ,12,FENZ
519,Initial D,,TV   ,26,Gallop
520,Tsukimonogatari, Tsukimonogatari: Yotsugi Doll,TV Sp,no data,SHAFT
521,Welcome to the NHK!, NHK ni Youkoso!,TV   ,24,GONZO
522,One-Punch Man 2,,TV   ,12,J.C.Staff
523,JoJo's Bizarre Adventure (2012), JoJo no Kimyou na Bouken (2012),TV   ,26,David Production
524,Code Geass: Lelouch of the Rebellion III - Glorification, Code Geass: Hangyaku no Lelouch III - Oudou,Movie,no data,Sunrise
525,Fullmetal Alchemist: Brotherhood Specials, Hagane no Renkinjutsushi: Brotherhood Specials,DVD S,no data,Bones
526,Detective Conan Movie 3: The Last Magician of the Century, Meitantei Conan Movie 3: Seikimatsu no Majutsushi,Movie,no data,TMS Entertainment
527,Free! Road to the World - Yume, Free! -Road to the World- the Dream,Movie,no data,Animation Do
528,Non Non Biyori Repeat,,TV   ,12,SILVER LINK.
529,Jormungand: Perfect Order,,TV   ,12,WHITE FOX
530,Durarara!! X2 The Second Arc, Durarara!!x2 Ten,TV   ,12,Shuka
531,Slam Dunk,,TV   ,101,Toei Animation
532,Aria the Origination,,TV   ,13,Hal Film Maker
533,Chihayafuru,,TV   ,25,MADHOUSE
534,Sound! Euphonium 2, Hibike! Euphonium 2,TV   ,no data,Kyoto Animation
535,Sekai-ichi Hatsukoi: Valentine-hen, Sekai-ichi Hatsukoi: World's Greatest First Love - Valentine-hen,Movie,no data,Studio DEEN
536,Drifters,,TV   ,12,Hoods Entertainment
537,Magi: Adventure of Sinbad OVA, Magi: Sinbad no Bouken OVA,OVA  ,5,Lay-duce
538,Promare,,Movie,no data,TRIGGER
539,Castlevania,,Web  ,4,Mua Film
540,Rurouni Kenshin: Seisouhen, Samurai X: Reflection,OVA  ,2,Studio DEEN
541,Swallowed Star 2nd Season, Tunshi Xingkong Zhi Zhuangzhi Lingyun,Web  ,no data,Sparkly Key Animation Studio
542,Sekai-ichi Hatsukoi: World's Greatest First Love, Sekai-ichi Hatsukoi,TV   ,12,Studio DEEN
543,Bakemonogatari,,TV   ,15,SHAFT
544,Kuroko's Basketball: Tip Off, Kuroko no Basket: Tip Off,DVD S,no data,Production I.G
545,Food Wars! Toutsuki Juukketsu, Shokugeki no Soma: Toutsuki Juukketsu,OVA  ,1,J.C.Staff
546,The Tale of the Princess Kaguya, Kaguya-hime no Monogatari,Movie,no data,Studio Ghibli
547,GATE," Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV   ,12,A-1 Pictures
548,KonoSuba – God's blessing on this wonderful world!, Kono Subarashii Sekai ni Shukufuku wo!,TV   ,10,Studio DEEN
549,Snow White with the Red Hair OVA," Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA  ,1,Bones
550,Carole & Tuesday,,TV   ,24,Bones
551,K-On!!,,TV   ,26,Kyoto Animation
552,One Piece: Strong World - Episode 0,,OVA  ,1,Toei Animation
553,Yi Nian Yongheng, A Will Eternal,Web  ,52,B.C MAY PICTURES
554,Hinamatsuri,,TV   ,12,feel.
555,School Rumble: 2nd Semester, School Rumble Ni Gakki,TV   ,26,Studio Comet
556,Sword Art Online: Progressive Movie 1 - Aria of a Starless Night, Sword Art Online: Progressive Movie - Hoshinaki Yoru no Aria,Movie,no data,A-1 Pictures
557,A Certain Scientific Railgun T, Toaru Kagaku no Railgun T,TV   ,25,J.C.Staff
558,Evangelion: 1.0 You Are (Not) Alone, Evangelion Shin Gekijouban: Jo,Movie,no data,Khara
559,Detective Conan Movie 19: The Hellfire Sunflowers, Meitantei Conan Movie 19: Gouka no Himawari,Movie,no data,TMS Entertainment
560,My Love Story!!, Ore Monogatari!!,TV   ,24,MADHOUSE
561,InuYasha: Kuroi Tessaiga,,Movie,no data,Sunrise
562,Is It Wrong to Try to Pick Up Girls in a Dungeon?, Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka,TV   ,13,J.C.Staff
563,Dou Po Cangqiong 2nd Season, Battle Through the Heavens 2nd Season,Web  ,12,Motion Magic
564,Working!!! Lord of the Takanashi, Wagnaria!! 3: Lord of the Takanashi,TV Sp,no data,A-1 Pictures
565,Classroom of the Elite, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV   ,12,Lerche
566,Puella Magi Madoka Magica the Movie Part 1: Beginnings, Mahou Shoujo Madoka Magica Movie 1: Hajimari no Monogatari,Movie,no data,SHAFT
567,IDOLiSH7: Second BEAT!,,TV   ,15,TROYCA
568,Ghost in the Shell, Koukaku Kidoutai,Movie,no data,Production I.G
569,Ace of the Diamond, Diamond no Ace,TV   ,75,MADHOUSE
570,Kino's Journey, Kino no Tabi: The Beautiful World,TV   ,13,A.C.G.T
571,Mobile Suit Gundam: Iron-Blooded Orphans, Kidou Senshi Gundam: Tekketsu no Orphans,TV   ,25,Sunrise
572,"Welcome to Demon School, Iruma-kun", Mairimashita! Iruma-kun,TV   ,23,BN Pictures
573,March Comes in like a Lion, 3-gatsu no Lion,TV   ,22,SHAFT
574,Little Busters! Refrain,,TV   ,13,J.C.Staff
575,The World God Only Knows II, Kami nomi zo Shiru Sekai II,TV   ,12,Manglobe
576,Code Geass: Lelouch of the Rebellion I - Initiation, Code Geass: Hangyaku no Lelouch I - Koudou,Movie,no data,Sunrise
577,The Prince of Tennis: The National Tournament - Semifinal, Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,OVA  ,6,M.S.C.
578,Bungo Stray Dogs: Walking Alone, Bungo Stray Dogs: Hitori Ayumu,OVA  ,1,Bones
579,Natsume's Book of Friends Movie 2, Natsume Yuujinchou Movie 2: Ishi Okoshi to Ayashiki Raihousha,Movie,no data,Shuka
580,History's Strongest Disciple Kenichi OVA, Shijou Saikyou no Deshi Kenichi OVA,OVA  ,11,Brain's Base
581,Osomatsu-san The Movie, Mr. Osomatsu The Movie,Movie,no data,Pierrot
582,Moribito: Guardian of the Spirit, Seirei no Moribito,TV   ,26,Production I.G
583,Kaiji - Against All Rules, Gyakkyou Burai Kaiji: Hakairoku-hen,TV   ,26,MADHOUSE
584,My Roommate is a Cat," Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV   ,12,Zero-G
585,Space Dandy 2,,TV   ,13,Bones
586,Somali and the Forest Spirit, Somali to Mori no Kami-sama,TV   ,12,SATELIGHT
587,The House of Small Cubes,"Alt titles: La Maison en Petits Cubes, Tsumiki no Ie",Movie,no data,Oh production
588,Tsukimichi: Moonlit Fantasy, Tsuki ga Michibiku Isekai Douchuu,TV   ,12,C2C
